label,title,description
2,Mates faith in Beitia rewarded in victory,"As he prepared for a potential game-winning field goal in the waning moments Saturday, Florida State senior Xavier Beitia had several teammates tell him they believed in him."
1,Frenchman shot dead in Saudi Arabia,"A French national was shot and killed in the Saudi Arabian city of Jiddah early Sunday, the Interior Ministry said. The man was shot at 1 am in the Red Sea port city."
2,"Nets Get 23 From Jefferson, Beat Celtics","Boston Celtics Gary Payton scrambles over New Jersey Nets Eric Williams after a loose ball during the first quarter Friday, Oct. 22, 2004, in Boston."
2,Former Tottenham goalkeeper Bill Brown dies in Ontario at the age ,"SIMCOE, Ont. (CP) - Bill Brown, a former Scottish international goalkeeper who went on to play soccer and live in Canada, has died after a lengthy battle with cancer."
2,Raiders Kicker Gets Contract Extension ,"AP - Sebastian Janikowski finalized a   10.5 million, five-year contract extension with the Oakland Raiders on Wednesday that makes him the highest paid placekicker in the NFL."
1,Kroll Defends Arrested Employees,International security consultant Kroll Inc. took out ads in Brazil's largest newspapers Thursday to defend five employees arrested amid allegations Kroll illegally spied in its probe of a bitter corporate dispute.
4,"NASA Jet Will Try to Go 7,000 MPH ","AP - In March, NASA launched an experimental jet that reached a record-setting speed of about 5,000 mph. Now researchers want to leave that milestone in the dust."
3,Vodafone doubles dividend,Vodafone made good on its promise to return more cash to shareholders yesterday with a doubling of its half-year dividend and plans to buy back a further 2.2bn of shares over the next four months.
1,Insurgents keep up deadly attacks in northern Iraq,"Insurgents renewed attacks on United States troops and Iraqs security forces today, killing five police officers, including a general, and wounding 14 American soldiers in continuing attempts to derail the coming elections."
3,Dutch steel firm buying International Steel Group for $4.5 billion,"PHILADELPHIA _ International Steel Group Inc., which includes the remains of the bankrupt Bethlehem Steel Corp., is being acquired by a Dutch steel company for $4."
1,Falluja Rebels Fight On; Clashes Across Iraq," FALLUJA, Iraq (Reuters) - U.S. warplanes, artillery and  mortars attacked areas of Falluja on Monday as diehard  insurgents held out to the last in the week-long battle and  heavy clashes broke out in the Iraqi cities of Mosul and  Baquba."
1,Darfur Peace Talks Start Amid New Fighting (Reuters),Reuters - Darfur peace talks kicked off\four days late in Nigeria Monday amid mounting international\concerns of a resurgence of fighting in the remote Sudan\region.
4,"DNA as a Sex-Crime Solver: Good Tool, Not Whole Solution","A race to pursue DNA-based indictments has made apparent that no matter how sophisticated the science of DNA, a genetic profile is less than half the battle."
3,Greenspan bearish on dollar,"Alan Greenspan came to the home of the euro on Friday and suggested that the relentless decline of the dollar might well continue, offering little relief to those here "
4,Google Goes on Hiring Spree,"(Article Central) Google has started spending some of the $1.67 billion it made in last month's initial public offering, recruiting a half-dozen of the brightest minds from Microsoft and other tech giants."
1,Low turnout sinks Macedonia referendum,"SKOPJE, Macedonia -- A referendum bid to block a law that gives Macedonia's Albanian minority more rights failed yesterday, upholding the Western-brokered peace plan that ended ethnic fighting in 2001."
3,Ellison: Oracle Will Ship PeopleSoft's Next-Generation Products,SAN FRANCISCOOracle Corp. will complete development and ship the next version of PeopleSoft's flagship enterprise applications even if it ultimately succeeds in buying out its competitor.
2,"Ireland, Austria Share World Cup Lead",The Irish duo of Paul McGinley and Padraig Harrington shot a 12-under 60 Thursday to share the lead with Austria's Martin Wiegele and Markus Brier after the first round of the team World Cup.
2,The Ballad of Shaikh Ahmed,THE guy exudes an aura of sure-fire confidence - the confidence that is based on his burning desire to excel. Shaikh Ahmed Mohammed Hasher Al Maktoum expects to be successful - and he invariably is. 
2,Vijay Singh win more than 10 million US dollars in one season,"Singh ended the five-year reign of Tiger Woods as world number one in September, defeating Woods in a man-to-man duel for the Deutche Bank Championship title to confirm his supremacy."
3,Yen Holds Gains as Oil Remains Below $50," LONDON (Reuters) - The yen steadied on Thursday after  bouncing back from recent lows against the dollar and the euro  as oil prices stepped down from this week's record highs, while  investors awaited key economic data from Japan."
1,Part 1 of 2: The evolution of Indonesian democracy,"Although it is yet to be officially announced, it now seems certain that Susilo Bambang Yudhoyono (SBY) will become Indonesia's next president."
4,Spammers exploit anti-spam trap,Spammers have become enthusiastic adopters of technology designed to spot and stop them.
2,Roddick and Fish lead US Davis Cup effort,"Charleston, SC (Sports Network) - Andy Roddick and Mardy Fish will play singles for the United States in this weekend's Davis Cup semifinal matchup against Belarus."
1,Friends and curious turn out for goodbye to alleged Montreal Mob boss (Canadian Press),"Canadian Press - MONTREAL (CP) - At least 200 people paid their final respects Saturday to Frank Cotroni, the reputed head of the Montreal Mafia who died of cancer at the age of 72."
2,Prefontaine hoofs the Lions,"For a guy who would have preferred to see the SkyDome lid closed, Noel Prefontaine did a fine job of putting the boot to the football yesterday in the chilly, open air of the topless stadium."
2,Hewitt Thunders to Final,"Lleyton Hewitt advanced to the finals of the Legg Mason Tennis Classic with a 6-3, 6-4 win over Robby Ginepri on Saturday."
4,SpaceShipOne Guru: NASA Needs a Visionary ,"AP - Burt Rutan, an aviator whose SpaceShipOne won the   10 million Ansari X-Prize for making three suborbital space flights, said NASA needs another Wernher von Braun  #151; and chided the space agency for what he called a failed space shuttle program."
1,Man poses as worker to get into palace at Holyrood,AN intruder posed as a bogus workman in order to con his way into Holyrood Palace and get within yards of the Royal Apartments. Police were today hunting the man who succeeded in bypassing the palaces security 
3,UPDATE 1-Fed's Gramlich: Impact from costlier oil inevitable,"Costlier imported oil is bound to have some negative economic impact on the US economy, but it does not mean policymakers can lose sight of their long-term goal of keeping inflation under control, Federal Reserve Governor "
1,Libya Arrests 17 Alleged al-Qaida Members ,"AP - Police have arrested 17 non-Libyans suspected of being al-Qaida members who entered this North African country illegally, the interior minister said Sunday."
2,McGrath has India reeling,"Glenn McGrath claimed three wickets, Michael Kasprowicz two and Shane Warne bagged the all-important scalp of VVS Laxman to reduce India to 150 for 6 wickets by the end of Day 2 in the first Test against Australia at the Chinnaswamy stadium in Bangalore "
1,Gaza out of control,"We are entering a very dangerous time. Everyone has their own gun and there is no one person in control.. BY ANDREW METZ. GAZA CITY, Gaza Strip -- The young men wore hostile expressions and carried guns "
4,Veritas' India lab to become its largest R D center,"BANGALORE, INDIA - Veritas Software's research and development (R D) center in Pune, India, will soon be the company's largest worldwide, according to a company executive."
2,Victory in Moldova Vogts pledges,and predicted the victory would be more impressive than Italy s. The German knows he could be sacked if Scotland 
2,"Hayden crashes out, Barros mounts another spirited charge",lex Barros finished the last race of the season in sixth place while team mate Nicky Hayden crashed out unhurt while contesting a podium finish in front of capacity crowd at the Ricardo Tormo Circuit in Valencia today.
3,Stocks poised to drop,US stock futures pointed to a sharply lower start Friday as Intel Corp.'s disappointing third-quarter revenue and margin forecast sent chip stocks tumbling overseas.
1,Civil war possible after Iraq elections: US' top soldier ,AFP - US army chief General Richard Myers said in an interview that civil war could erupt in Iraq after forthcoming elections.
3,"Alcoa profits up slightly despite fire, hurricane and strikes","PITTSBURGH Alcoa reported slightly improved earnings today on higher aluminum prices, though the company was plagued throughout the third quarter by a fire, a hurricane and labor strife."
4,Remote control rifle range debuts,Soon you will be able to hunt and shoot wild pigs and sheep via the net.
4,Vodafone launches mass-market 3G mobile ,"AFP - After a four-year wait, billions of pounds spent on licences and numerous delays, Vodafone finally rolled out mass-market third-generation (3G) mobile telephone services."
3,Inquiry into Fannie Mae may hike mortgage cost,"The rate consumers pay on a 30-year, $200,000 home loan will likely rise 0.2 of a percentage point - an extra $9,200 over the course of the loan - as the largest US buyer of mortgages slows growth to meet regulators request to boost capital, said Kevin "
3,"Alcatel to buy wireless, conferencing companies",Networking gear maker Alcatel on Friday announced acquisition plans for a pair of US companies to help it gain access to wireless and collaboration technologies.
1,UN must lead fight against terror: PM,Dr Manmohan Singh said international networks of terror appear to cooperate more effectively between themselves than the nations they target.
4,XP SP2 Downloads Surpass 100M Mark,"Two months after the heavily hyped release of Microsoft's Windows XP Service Pack 2 (SP2), the company has exceeded its delivery projections for individual users and small businesses."
3,"CommScope Says Costs Rise, Sales to Fall"," NEW YORK (Reuters) - Communications cable maker CommScope  Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=CTV.N target=/stocks/quickinfo/fullquote""&gt;CTV.N&lt;/A&gt; on Monday projected higher fourth-quarter costs  and lower sales at an Omaha manufacturing subsidiary, losing  nearly a quarter of its stock market value in after-market  trading."
3,"Networking, Security Integration Reaches  TippingPoint ","The trend of merging network and security technologies continued today as 3Com (Quote, Chart) bought TippingPoint Technologies (Quote, Chart) for approximately $430 million, the companies said."
3,Vehicle complexity leads to record number of recalls,"Automakers have recalled more vehicles in the USA this year than ever before, likely more a result of the increasing complexity of cars and trucks and greater vigilance than a lapse in quality."
1,Malaysian Vows to Push Reforms,"KUALA LUMPUR, Malaysia, Sept. 3 -- Former Deputy Prime Minister Anwar Ibrahim vowed to push for democratic reforms in Malaysia, including freer news media, fair elections and an independent judiciary, as he "
2,Colorado back in game,"At the start of the season, they were in the also-ran bin. Not on anyone's radar screen nationally, or even in the Big 12, for that matter. But a month into the 2004 season, look at what the Colorado Buffaloes have done."
1,Israeli officer charged over slain Gaza girl,JERUSALEM - Israel has charged an army captain who was accused of riddling a Palestinian girl's body with bullets after she was already dead.
3,"Delphi to cut 8,500 jobs, post 350-million-dollar loss in 2005","New York (dpa) - Delphi Corp., the world's largest auto-parts maker, said Friday that it will cut 8,500 jobs, or nearly 5 per cent of its workforce, next year while it also announced that it would post losses for the fourth quarter and for 2005."
2,Cricket-Zimbabwe race probe collapses,"HARARE - A formal hearing into allegations of racism in Zimbabwe cricket, set up here by the International Cricket Council (ICC), collapsed in disarray when the Zimbabwe Cricket Union (ZCU) and the rebel players refused to budge on witness procedure "
2,Harvard boasts big-time talent,"Clifton Dawson had been on the Harvard campus exactly one day before preseason practice began for the 2003 season. There was little time to introduce himself to his teammates.  quot;I wondered what was expected of me and I felt I had something to prove, quot; said Dawson, who had withdrawn from Northwestern -- where he was on a football scholarship -- ..."
4,DoubleClick Signs on MSN to Use Its Rich Media Ads," NEW YORK (Reuters) - A top executive for Web marketing  company DoubleClick &lt;A HREF=""http://www.reuters.co.uk/financeQuoteLookup.jhtml?ticker=DCLK.O qtype=sym infotype=info qcat=news""&gt;DCLK.O&lt;/A&gt; on Tuesday said Microsoft Corp's  &lt;A HREF=""http://www.reuters.co.uk/financeQuoteLookup.jhtml?ticker=MSFT.O qtype=sym infotype=info qcat=news""&gt;MSFT.O&lt;/A&gt; MSN Web portal will use its rich media ads online,  paving the way for wider use of a key DoubleClick  product."
4,Napster's mobile market plans,The company has formed an agreement with mobile developer and publisher Dwango Wireless to launch the service - Napster Mobile - across the US and Canada in 2005.
2,Former NL MVP Caminiti passes away,"Bronx, NY (Sports Network) - Ken Caminiti, who won the National League MVP in 1996 and later admitted to using steroids during his playing career, passed away on Sunday due to an apparent heart attack."
1,Car Bomb Kills at Least Six in Baghdad,"BAGHDAD, Iraq - U.S. troops pounded Fallujah with airstrikes and tank fire Sunday, and the Iraqi government appealed to residents to expel ""foreign terrorists"" to prevent an all-out attack..."
2,"Blue Jays 4, Orioles 1","Gregg Zaun homered and Orlando Hudson had three hits and an RBI, leading the Toronto Blue Jays past the Baltimore Orioles 4-1 Monday night."
4,Sophos: 2004 was the year of Netsky worm,"Netsky-P, an e-mail computer worm that disrupted tens of thousands of businesses and homes worldwide, was the hardest-hitting virus of 2004, according to Web security firm Sophos."
3,US Treasuries Fall as Durable-Goods Orders Top Forecasts,"US Treasury notes fell after a measure of durable goods orders rose more than forecast in August, adding to speculation the Federal Reserve will raise interest rates at least once more this year."
3,AG Reilly seeks 6.2 car insurance cut,"Attorney General Thomas F. Reilly urged state regulators to cut auto insurance rates 6.2 percent next year, a sharp contrast with the 9.2 percent rate hike being sought by insurers and agents. Reilly said his proposal would shave about $60 off the existing statewide average premium of $1,082, while the industry proposal would increase the average premium by $101. A ..."
4,Foundation Awards Annual 'Genius Grants' ,"AP - When Rueben Martinez became a barber in the Los Angeles area, his love of literature inspired him to lend out books for customers. He noticed that few books made their way back to him."
2,Wenger stab at Mourinho,Arsenal boss Arsene Wenger insisted he is not surprised by Jose Mourinho turning Chelsea into title contenders - as Claudio Ranieri had already laid the foundations for success.
2,Needham tackle now playing for Harvard,"Andrew Brecher, a three-sport athlete at Needham High School, is now a sophomore at Harvard University, where he is a backup offensive tackle on the varsity football team."
3,Back to School (Forbes.com),"Forbes.com - Over the past three decades the Federal Government has poured three-quarters of a trillion dollars into financial aid for college students. Back in 1971, the annual total for grants, loans, tax breaks and other aid was the equivalent, in today's dollars, of   18 billion. It's now running at a   65-billion-a-year clip."
2,Miami coach Wannstedt steps down,"CBC SPORTS ONLINE - Head coach Dave Wannstedt resigned from the struggling Miami Dolphins Tuesday morning, ending a frustrating season that began with the retirement of star running back Ricky Williams before training camp."
3,Coolbrands Cuts Year-End Profit Outlook," TORONTO (Reuters) - Coolbrands International Inc., the  maker of frozen desserts, cut its profit outlook for fiscal  2004 on Tuesday, because of a decision to take a noncash charge  related to stock options."
1,Syria continues withdrawing its forces from Lebanon,Syrian military units withdrew from Lebanon in the early hours of today (Thursday) morning in the framework of a large- scale redeployment operation by the Syrian forces.
1,Industrial Park Hostage to U.S.-N.Korea Ties (Reuters),"Reuters - An industrial park\offering cheap labor, handy transport links and next door to\major Asian markets should be a powerful lure for manufacturers\looking for a competitive edge."
1,Tropical storm Jeanne to bring floods and deaths to Haiti,"HAITI - At least 90 people died due to floods caused by heavy rains brought by Tropical storm Jeanne. Hundreds of people in Port-au-Prince, Haitis capital, have to save their lives from powerful water streams on the roofs of their properties."
1,Russia: Chechens Were Part of School Raid,"MOSCOW Sept. 9, 2004 - Ten of the militants who seized a school in southern Russia have been identified and six were from Chechnya, security officials said Thursday, drawing a strong connection to the Chechen "
1,Top UN envoy details lack of progress in Darfur crisis,UNITED NATIONS -- The top UN envoy to Sudan said yesterday that the Sudanese government has failed to improve security for the embattled people of Darfur or to bring to justice the perpetrators of atrocities during the 19-month conflict.
3,Desert plant offers rich pickings for Bushmen,THOUSANDS of South African Bushmen are to receive a royalty windfall after a Cambridgeshire company yesterday signed a deal with Unilever to develop one of their bush plants into a slimming aid.
2,UNDATED: in 41 chances.,Ryan Klesko singled in the go-ahead run with none out in the eighth inning and San Diego ended St. Louis nine-game winning streak.
1,Ichiro Breaks Sisler's Season Hits Record,"SEATTLE - The 258th hit in 2004 for Ichiro Suzuki was like so many others, a little ground ball up the middle. Only this one made history - a hit cheered 'round the world..."
2,Dolphins talk to LSU's Saban about coaching vacancy,LSU coach Nick Saban and Dolphins officials met for several hours Tuesday night about the team's vacant head-coaching position.
3,Banker Questioned in Enron Criminal Case," HOUSTON (Reuters) - Prosecutors in the first Enron Corp.  &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=ENRNQ.PK target=/stocks/quickinfo/fullquote""&gt;ENRNQ.PK&lt;/A&gt; criminal trial sought to cast doubt on Wednesday on  a former Merrill Lynch &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MER.N target=/stocks/quickinfo/fullquote""&gt;MER.N&lt;/A&gt; banker's statements that he was  worried about financial risks from buying three barges from  Enron."
4,Powerline Ethernet Gets the Nod,"Broadband over powerline (BPL) got a boost from the Federal Communications Commission (FCC) last week, but even as the technology begins deployments, it's unclear how much of a fight it will put up against DSL and cable."
4,Moon to turn blood-red on account of total lunar eclipse tonight,"A total lunar eclipse expected to create views of a blood-red moon will be visible tonight throughout most of North America, weather permitting."
1,Iran Considers EU Compromise Proposal,"Representatives from France, Germany, and the United Kingdom met with Iranian officials twice in October in an effort to head off a possible diplomatic showdown over its nuclear program."
3,"Wishing Won't Make Market Better, Bulls","What's the case for higher stock prices? Let's examine it, on this slightly down morning, if only to remove some of the incessant gloom I feel surrounds this stock market."
2,Fergie: Only A Win Will Do,Sir Alex Ferguson is convinced Manchester United will end Arsenals 49-game unbeaten run on Sunday - because they simply have to.
4,"Teen accused of making threats about school, possessing weapons","A 17-year-old was arraigned Friday after authorities received a tip that he was making threats in an online chat room against his high school, fellow students and an officer assigned to the building."
4,"Asteroid to Come Closest to Earth Since 12th Century, NASA Says","Toutatis, a mountain-sized asteroid, will today come the closest to the Earth since at least the 12th century, giving scientists an opportunity to gather data about it, NASA said on its Web site."
3,PeopleSoft's Schizophrenia,"Craig Conway was fired from PeopleSoft (nasdaq: PSFT - news - people ) today, the same day the company announced that its third-quarter license revenue will be much better than expected."
2,Simms doubtful; Griese to start,"TAMPA, Fla. - Chris Simms first NFL start lasted 19 plays, and it might be a while before he plays again for the Tampa Bay Buccaneers."
4,Sun Capital putting Anchor on block (TheDeal.com),"TheDeal.com - The Boca Raton, Fla., venture capital firm hopes to get   210 million or more for the teenage apparel retailer."
2,US Davis Cup Brings 9-Year Title Drought to Final Versus Spain,"Andy Roddick, Mardy Fish and the Bryan brothers hope to add to Davis Cup lore this weekend when they assume the monstrous underdog role, facing Spain on their home red dirt in front of an expected record-setting crowd in Seville."
2,MLB reduces suspensions for three Texas pitchers,"Arlington, TX (Sports Network) - The three Texas Rangers relievers involved in last Monday's altercation with fans in Oakland had their suspension reduced one game each by the league Wednesday."
4,"ICANN enters negotiations on .mobi, .jobs domains","Two new top-level domain names moved closer to approval this week, as the body charged with overseeing the Internet's technical matters moved into negotiations with the companies applying to set up and run the "".mobi"" and "".jobs"" domains."
3,Gwalia on brink of collapse,"ONE of Australia's biggest gold miners, Sons of Gwalia, has called in administrators after negotiations with its creditors collapsed."
1,"FedEx, New York Life Press Bush on Trade as China's Power Grows",US companies such as FedEx Corp. and New York Life Insurance Co. are pleading with President George W. Bush to start discussions on a Pacific Rim free-trade bloc as he heads to this weekend's regional economic summit.
4,Campaign Donor Data Goes Mobile,"Political wonks no longer need to hunch over their PCs to track the political leanings of different regions. A new service sends that data to cell phones and PDAs, so people can find out instantly if they're in a Democratic or Republican stronghold. By Daniel Terdiman."
4,IETF Disbands Anti-Spam Working Group,"The Internet Engineering Task Force has disbanded its working group tackling spam, saying it was deadlocked, in part, over troubles related to Microsoft Corp."
