Title	Director
Lucy_(2014_film)	Luc Besson
Mercenaries_(2014_film)	Christopher Douglas-Olen Ray
The_Raid_2:_Berandal	Gareth Evans
Ride_Along_(film)	Tim Story
RoboCop_(2014_film)	José Padilha
Skin_Trade_(film)	Ekachai Uekrongtham
The_Target_(film)	Chang
Teenage_Mutant_Ninja_Turtles_(2014_film)	Jonathan Liebesman
Tokyo_Tribe	Sion Sono
Tomb_Robber	Dao Tai Yu
Transformers:_Age_of_Extinction	Michael Bay
X-Men:_Days_of_Future_Past	Bryan Singer
Wyrmwood:_Road_of_the_Dead	Kiah Roache-Turner
American_Sniper	Clint Eastwood
American_Ultra	Nima Nourizadeh
Ant-Man_(film)	Peyton Reed
Avengers:_Age_of_Ultron	Joss Whedon
Blackhat_(film)	Michael Mann
Barely_Lethal	Kyle Newman
Chappie_(film)	Neill Blomkamp
Dragon_Blade_(film)	Daniel Lee
Fantastic_Four_(2015_film)	Josh Trank
Furious_7	James Wan
The_Gunman_(film)	Pierre Morel
Heist_(2015_film)	Scott Mann
Hitman:_Agent_47	Aleksander Bach
Kingsman:_The_Secret_Service	Matthew Vaughn
The_Man_from_U.N.C.L.E._(film)	Guy Ritchie
The_Martian_(film)	Ridley Scott
Mad_Max:_Fury_Road	George Miller
Mission:_Impossible_-_Rogue_Nation	Christopher McQuarrie
Mortdecai_(film)	David Koepp
No_Escape_(2015_film)	John Erick Dowdle
Point_Break_(2015_film)	Ericson Core
Run_All_Night_(film)	Jaume Collet-Serra
San_Andreas_(film)	Brad Peyton
Survivor_(film)	James McTeigue
Spectre_(2015_film)	Sam Mendes
Spy_(2015_film)	Paul Feig
Star_Wars:_The_Force_Awakens	J. J. Abrams
Taken_3	Olivier Megaton
The_Transporter_Refueled	Camille Delamarre
Terminator_Genisys	Alan Taylor
Wild_Card_(2015_film)	Simon West
Wolf_Warriors	Wu Jing
Z_Island	Hiroshi Shinagawa
The_Accountant_(2016_film)	Gavin O'Connor
Assassin%27s_Creed_(film)	Justin Kurzel
Batman_v_Superman:_Dawn_of_Justice	Zack Snyder
Captain_America:_Civil_War	Antony Russo, Joe Russo
Doctor_Strange_(2016_film)	Scott Derrickson
Deadpool_(film)	Tim Miller
Independence_Day:_Resurgence	Roland Emmerich
Jack_Reacher:_Never_Go_Back	Edward Zwick
Jason_Bourne_(film)	Paul Greengrass
Keeping_Up_with_the_Joneses_(film)	Greg Mottola
The_Legend_of_Tarzan_(film)	David Yates
London_Has_Fallen	Babak Najafi
Max_Steel_(film)	Stewart Hendler
Mechanic:_Resurrection	Dennis Gansel
Ride_Along_2	Tim Story
Star_Trek_Beyond	Justin Lin
Suicide_Squad_(film)	David Ayer
Teenage_Mutant_Ninja_Turtles:_Out_of_the_Shadows_(film)	Dave Green
X-Men:_Apocalypse	Bryan Singer
Atomic_Blonde	David Leitch
Baby_Driver	Edgar Wright
Baywatch_(film)	Seth Gordon
Blade_of_the_Immortal_(film)	Takashi Miike
Guardians_of_the_Galaxy_Vol._2	James Gunn
The_Hitman%27s_Bodyguard	Patrick Hughes
John_Wick:_Chapter_2	Chad Stahelski
Justice_League_(film)	Zack Snyder
Kingsman:_The_Golden_Circle	Matthew Vaughn
Kong:_Skull_Island	Jordan Vogt-Roberts
Logan_(film)	James Mangold
Overdrive_(film)	Antonio Negret
Power_Rangers_(film)	Dean Israelite
Sleepless_(2017_film)	Baran bo Odar
Spider-Man:_Homecoming	Jon Watts
Star_Wars:_The_Last_Jedi	Rian Johnson
Thor:_Ragnarok	Taika Waititi
Transformers:_The_Last_Knight	Michael Bay
Underworld:_Blood_Wars	Anna Foerster
Wonder_Woman_(2017_film)	Patty Jenkins
XXx:_Return_of_Xander_Cage	D. J. Caruso
